"year","artist","songs","lyrics"
"2011","katyperry","firework","ever feel like plastic bag drifting wind wanting start ever feel paper thin like house cards one blow caving ever feel already buried deep six feet screams one seems hear thing know theres still chance cause theres spark gotta ignite light let shine night like 4th july cause baby youre firework come show em youre worth make em go ah shoot across sky baby youre firework come let colors burst make em go ah youre gonna leave em awe dont feel like wasted space youre original cannot replaced knew future holds hurricane comes rainbow maybe reason doors closed could open one leads perfect road like lightning bolt heart glow time youll know gotta ignite light let shine night like 4th july cause baby youre firework come show em youre worth make em go ah shoot across sky baby youre firework come let colors burst make em go ah youre gonna leave em awe boom even brighter moon always inside time let ough cause baby youre firework come show em youre worth make em go ah shoot across sky baby youre firework come let colors burst make em go ah youre gonna leave em awe boom even brighter moon boom even brighter moon"
"2011","lmfao","partyrockanthem","party rock yeah woo lets go party rock house tonight everybody good time yeah gon make lose mind woo everybody good time clap party rock house tonight oh everybody good time feel baby gon make lose mind yeah wanna see shake club party rock looking girl jock huh non stop spot booty moving weight like block woo drank gots know tight jeans tattoo cause im rock roll half black half white domino gaining money oprah dough yo im running hoes like drano got devilish flow rock roll halo party rock yeah thats crew im repping rise top led zeppelin hey party rock house tonight woo everybody good time yeah gon make lose mind everybody good time lets go party rock house tonight everybody good time feel baby gon make lose mind wanna see shake every day im shuffling shake shuffling shake step fast first girl make throw cash get money dont mad stop hating bad one shot us another round please fill cup dont mess around wanna see shake wanna youre naked get get put hands sound get get put hands sound get get put hands sound woo put hands sound put hands sound lets go get get get get get get get get get put hands sound sound put hands woo put hands put hands put hands party rock house tonight put hands woo everybody good time put hands gon make lose mind put hands everybody good time oh put hands oh feel baby oh put hands oh put hands shake every day im shu shuffling put yo put yo hands put yo put yo yeah put yo put yo woo hands put yo put yo hands put hands put hands put hands"
"2011","katyperry","et","youre hypnotizing could devil could angel touch magnetizing feels like floating leaves body glowing say afraid youre like others futuristic lover different dna dont understand youre whole nother world different dimension open eyes im ready go lead light kiss ki kiss infect loving fill poison take ta take wanna victim ready abduction boy youre alien touch foreign supernatural extraterrestrial youre supersonic wanna feel powers stun lasers kiss cosmic every move magic youre whole nother world different dimension open eyes im ready go lead light kiss ki kiss infect loving fill poison take ta take wanna victim ready abduction boy youre alien touch foreign supernatural extraterrestrial transcendental another level boy youre lucky star wanna walk wavelength vibrate ill risk kiss ki kiss infect loving fill poison take ta take wanna victim ready abduction boy youre alien touch foreign supernatural extraterrestrial boy youre alien touch foreign supernatural extraterrestrial"
"2011","pitbull","givemeeverything","working hard yeah right picture kodak better yet go times square take picture kodak took life negative positive want yall know tonight lets enjoy life pitbull nayer ne yo thats right tonight want tonight give everything tonight know might get tomorrow lets tonight dont care say games play nothing enough til handle love lets tonight want tonight want stay want tonight grab somebody sexy tell em hey give everything tonight hey give everything tonight ooh hey give everything tonight ooh hey give everything tonight take advantage tonight yeah cause tomorrow im dubai perform princess tonight make queen make love endless yeah insane way name growing hey money keep flowing hustlers move silence hey im tiptoeing keep flowing hey got locked like lindsay lohan hey woo put life baby heh ill make ya feel right baby cant promise tomorrow promise tonight dale woo excuse excuse might drink little tonight tonight might take home could tonight could tonight baby ima make feel good tonight good cause might get tomorrow woo tonight want tonight give everything tonight know might get tomorrow lets tonight dont care say games play nothing enough til handle love lets tonight want tonight want stay want tonight grab somebody sexy tell em hey give everything tonight hey give everything tonight ooh hey give everything tonight ooh hey give everything tonight reach stars dont grab least youll fall top world think cause slip im gon fall top girl hahahaha im involved deeper masons baby aingt secret familys cuba im american idol getting money like seacrest yeah put life baby ill make feel right baby cant promise tomorrow nah promise tonight dale woo excuse excuse might drink little tonight tonight might take home could tonight could tonight baby ima make feel good tonight good cause might get tomorrow woo ooh tonight want tonight give everything tonight know might get tomorrow lets tonight dont care say games play nothing enough til handle love lets tonight want tonight want stay want tonight grab somebody sexy tell em hey give everything tonight hey give everything tonight ooh hey give everything tonight ooh hey give everything tonight excuse excuse might drink little tonight tonight might take home could tonight could tonight baby ima make feel good tonight good cause might get tomorrow woo get tomorrow"
"2011","nickiminaj","superbass","one boys booming system top ac cooling system come club blazing got stacks deck like saving ill real might got deal pop bottles got right kind build cold dope might sell coke always air never fly coach motherfucking trip sailor ship make drip kiss lip thats kind dude looking yes youll get slapped youre looking hoe said excuse youre hell guy mean youre like pelican fly mean youre shy im loving tie youre like slicker guy thing eye oh yes yes somebody please tell f nicki minaj mack dudes back coupes chuck deuce boy got heartbeat running away beating like drum coming way cant hear boom badoom boom badoom boom bass got super bass boom badoom boom badoom boom bass yeah thats super bass boom got super bass boom got super bass boom badoom boom badoom boom bass got super bass boom badoom boom badoom boom bass got super bass one boys polos entrepreneur niggas moguls could ball crew could solo think like better dolo think like better fitted cap aingt even gotta try put mack gotta give look give look panties coming uh excuse youre hell guy know really got thing american guys mean sigh sickening eyes tell youre touch feminine side oh yes yes somebody please tell f nicki minaj mack dudes back coupes chuck deuce boy got heartbeat running away beating like drum coming way cant hear boom badoom boom badoom boom bass got super bass boom badoom boom badoom boom bass yeah thats super bass boom got super bass boom got super bass boom badoom boom badoom boom bass got super bass boom badoom boom badoom boom bass got super bass see need life stay know know youll stay dont go away ay boy got heartbeat running away dont hear heartbeat coming way oh like boom badoom boom badoom boom bass cant hear boom badoom boom badoom boom bass boy got heartbeat running away beating like drum coming way cant hear boom badoom boom badoom boom bass got super bass boom badoom boom badoom boom bass yeah thats super bass boom got super bass boom got super bass boom badoom boom badoom boom bass got super bass boom badoom boom badoom boom bass got super bass"
"2011","adele","rollinginthedeep","theres fire starting heart reaching fever pitch bringing dark finally see crystal clear go head sell ill lay ship bare go head sell ill lay shit bare see leave every piece dont underestimate things theres fire starting heart reaching fever pitch bringing dark scars love remind us keep thinking almost scars love leave breathless cant help feeling could youre gonna wish never met rolling deep tears gonna fall rolling deep heart inside hand youre gonna wish never met played beat tears gonna fall rolling deep baby story told ive heard one im gonna make head burn think depths despair make home mine sure wont shared youre gonna wish never met scars love remind us tears gonna fall rolling deep keep thinking almost youre gonna wish never met scars love leave breathless tears gonna fall rolling deep cant help feeling could youre gonna wish never met rolling deep tears gonna fall rolling deep heart inside hand youre gonna wish never met played beat tears gonna fall rolling deep could rolling deep heart inside hand played beating throw soul every open door woah count blessings find look woah turn sorrow treasured gold woah youll pay back kind reap sow woah youre gonna wish never met could tears gonna fall rolling deep could youre gonna wish never met tears gonna fall rolling deep could youre gonna wish never met rolling deep tears gonna fall rolling deep heart inside hand youre gonna wish never met played beat tears gonna fall rolling deep could youre gonna wish never met rolling deep tears gonna fall rolling deep heart inside hand youre gonna wish never met played played played played beat"
"2011","brunomars","grenade","easy come easy go thats live oh take never give shouldve known trouble first kiss eyes wide open open gave tossed trash tossed trash give love ever asked cause dont understand id catch grenade yeah throw hand blade yeah id jump front train yeah know id anything yeah oh would go pain take bullet straight brain yes would die baby wont black blue beat til im numb tell devil said hey get back youre mad woman bad woman thats yeah youll smile face rip brakes car gave tossed trash tossed trash yes give love ever asked cause dont understand id catch grenade yeah throw hand blade yeah id jump front train yeah know id anything yeah oh would go pain take bullet straight brain yes would die baby wont body fire oh youd watch burn flames said loved youre liar cause never ever baby darling id still catch grenade yeah throw hand blade yeah id jump front train yeah know id anything yeah oh would go pain take bullet straight brain yes would die baby wont wont wouldnt oh youd never oh oh"
"2011","maroon5","moveslikejagger","oh shoot stars feels right aim heart feel like take away make ok swear ill behave wanted control waited put show im naked say im kid ego big dont give shit goes like uh take tongue ill know uh kiss til youre drunk ill show want moves like jagger ive got moves like jagger ive got moves like jagger uh dont need try control uh look eyes ill moves like jagger ive got moves like jagger ive got moves like jagger maybe hard feel like youre broken scarred nothing feels right youre ill make believe ive got key oh get car ride wherever want get inside wanna steer im shifting gears ill take oh yeah goes like uh take tongue ill know uh kiss til youre drunk ill show want moves like jagger ive got moves like jagger ive got moves like jagger woo uh dont need try control oh yeah look eyes ill moves like jagger ive got moves like jagger yeah ive got moves like jagger uh wanna know make smile take control night share secret youre gonna keep nobody else see uh watch learn wont show twice head toe ooh baby rub right yeah share secret youre gonna keep nobody else see hey yeah goes like uh take tongue ill know take tongue kiss til youre drunk ill show yeah want moves like jagger ive got moves like jagger ive got moves like jagger oh yeah dont needa try control ooh look eyes ill ooh moves like jagger ive got moves like jagger ive got moves like jagger"
"2011","ceelogreen","forgetyou","see driving round town girl love im like forget guess change pocket wasnt enough im like forget forget said richer id still ya ha aingt sh aingt sh although theres pain chest still wish best forget yeah im sorry cant afford ferrari dont mean cant get guess hes xbox im atari way play game aingt fair pity fool falls love oops shes gold digger well thought know nig ive got news yeah go run tell little boyfriend see driving round town girl love im like forget guess change pocket wasnt enough im like forget forget said richer id still ya ha aingt sh aingt sh although theres pain chest still wish best forget know borrow beg steal lie cheat trying keep ya trying please ya cause love aingt cheap pity fool falls love oops shes gold digger well thought know nig ive got news really hate right see driving round town girl love im like forget guess change pocket wasnt enough im like forget forget said richer id still ya ha aingt sh aingt sh although theres pain chest still wish best forget baby wanna hurt bad bad bad bad tried tell mamma told one dad dad dad dad yes like uh uh uh lady oh love still love see driving round town girl love im like forget guess change pocket wasnt enough im like forget forget said richer id still ya ha aingt sh aingt sh although theres pain chest still wish best forget"
"2011","theblackeyedpeas","justcantgetenough","boy think every night day im addicted wanna drown inside love wouldnt wanna way im addicted cant get enough cant get enough cant get enough cant get enough cant get enough honey got sexy steaming giving hotness new meaning perfection mami gleaming inception got brother dreaming damn baby im fiending im tryna holler im screaming let love evening love love yeah know demon girl could form team could king could queen minds dirty dont need cleaning love long time know meaning oh baby cant come please come help got feeling high cant step cloud cant get enough boy think every night day im addicted wanna drown inside love wouldnt wanna way im addicted cant get enough cant get enough cant get enough cant get enough cant get enough honey got running like im flo jo signs name heart xo love sweet got vexed though wanna wish right back like presto yes meantime wait next time come around fore toast best time lol back forth text line got fishing love confess im something bout smile combo got high aingt coming yo hearts pumping louder electro got feeling like mr roboto oh baby cant come please come help got feeling high cant step cloud cant get enough boy think every night day im addicted wanna drown inside love wouldnt wanna way im addicted cant get enough cant switch locked sunk bedrock heart pumping youre love shot knocked cold shot im stuck headlo switch cant stop wont quit making fiend give want know mean love dose ecstasy switch addicted cant get away afflicted need miss switch want loving right next cant erase ya memory cant switch up2012"
